lon_a,lat_a,lon_b,lat_b,usage_count
-0.754148,38.87854,-0.52071,39.13819,414
-3.472141,38.63538,-1.433511,39.52892,412
-5.520889,42.454889,-3.739295,42.3011,411
-5.379528,37.506722,-5.252056,37.524694,410
-4.7786,41.132687,-4.398679,40.77063,405
-5.545187,41.939728,-5.545129,41.939377,397
-5.713278,42.087806,-5.657723,40.894054,394
-2.918956,42.70483,-2.772644,42.82372,393
-2.812738,39.92119,-1.757611,38.938611,390
-5.917074,40.265152,-5.748611,41.813417,387
-1.600367,42.01257,-0.756763,41.640594,380
-7.883468,42.31748,-5.950242,41.820766,378
-4.280605,42.03616,-3.740319,42.3005,377
-2.003104,41.3113,-0.756763,41.640594,372
-4.82411,41.5916,-4.510273,41.91378,370
-4.958262,37.26286,-4.39623,37.092716,369
-5.832583,39.565056,-4.703472,39.988556,367
-2.465149,37.591595,-1.360389,37.885556,367
-0.756763,41.640594,1.662544,41.321007,358
-1.601074,42.01253,-1.339556,40.772944,354
-0.527742,39.15396,0.71,40.81402,354
-3.331824,42.529476,-1.030398,41.73174,353
-4.056714,37.181763,-3.927585,37.18115,352
-3.068028,42.651974,-2.913518,42.74313,350
-4.391111,37.0919,-4.378064,37.094475,350
-6.186346,38.94719,-5.801292,39.818695,350
-3.777263,37.19138,-2.465149,37.591595,350
-3.584118,42.380978,-3.58387,42.380997,349
1.662544,41.321007,2.509397,41.648064,349
-3.702918,42.30732,-3.696811,41.59416,345
-0.754753,41.64069,1.455794,41.31738,344
-6.270861,38.094639,-6.186346,38.94719,343
-1.433511,39.52892,-0.184096,39.781944,343
-7.603278,41.988722,-5.950242,41.820766,343
-0.124249,39.8985,-0.10087,39.9383,342
-0.754167,38.878611,-0.745934,38.877857,339
-3.960243,37.18563,-3.958857,37.18492,338
-3.028232,37.39342,-2.608944,37.554194,337
1.415153,41.177746,1.86621,41.446106,336
-3.028232,37.39342,-1.339611,37.892778,334
-2.03989,39.13535,-2.038425,39.134872,333
-5.748611,41.813417,-5.61715,42.42043,329
-1.144528,40.471639,-0.662682,38.929626,327
-4.942309,41.518215,-4.870671,41.559,327
-4.703472,39.988556,-3.835679,39.6932,325
-6.302123,38.315155,-5.833083,39.526472,324
-3.835679,39.6932,-2.03989,39.13535,323
-7.45764,42.964878,-5.724889,42.540639,323
-3.068028,42.651974,-2.772644,42.82372,322
-4.985605,37.25629,-4.958262,37.26286,320
-0.745934,38.877857,-0.59416,38.9721,319
-7.454562,42.96586,-5.713278,42.087806,319
-1.757928,38.937634,-0.778572,38.49028,316
-4.398679,40.77063,-3.399121,39.180363,310
-3.32401,37.31801,-3.297419,37.3209,309
-4.371031,40.05906,-2.370979,39.334588,308
0.711547,40.812195,0.924508,40.98877,307
-2.913518,42.74313,-1.601074,42.01253,305
-4.054693,40.250015,-2.994463,40.774384,304
-0.52071,39.13819,0.71,40.81402,298
1.163327,41.375767,1.164609,41.37436,294
-3.751034,41.91578,-3.702918,42.30732,293
-5.724889,42.540639,-3.334111,42.526028,291
-3.723177,38.142353,-3.723148,38.14239,288
-0.662682,38.929626,-0.52071,39.13819,287
-5.767766,42.690834,-5.545187,41.939728,284
-5.770646,42.69129,-5.61715,42.42043,284
-3.751034,41.91578,-3.286111,40.166778,283
-0.59416,38.9721,-0.52071,39.13819,280
-2.772644,42.82372,-2.535529,43.01694,277
-3.958342,37.183884,-3.723177,38.142353,275
1.455794,41.31738,2.254843,41.558784,273
-4.870671,41.559,-4.56733,41.838745,271
-6.302123,38.315155,-5.500389,37.270056,270
-1.144528,40.471639,-1.030398,41.73174,269
-0.752036,38.874123,-0.745934,38.877857,268
-3.58387,42.380997,-1.320079,41.834606,268
-4.378064,37.094475,-3.958857,37.18492,267
-5.833083,39.526472,-4.703472,39.988556,263
-2.25491,39.538704,-1.433511,39.52892,262
-0.527742,39.15396,-0.52071,39.13819,261
-1.339556,40.772944,-0.328882,39.68209,260
-3.472141,38.63538,-1.433389,39.528806,260
-5.801292,39.818695,-4.054693,40.250015,258
-2.576845,39.864933,-0.93025,39.450333,257
