object_id,province_code,road,pk_start_km,pk_end_km,aadt_total,aadt_heavy,aadt_light,aadt_motorcycles,aadt_cars,aadt_cars_caravan,aadt_vans,aadt_tractors,aadt_rigid_trucks,aadt_articulated_trucks,aadt_road_trains,aadt_special_vehicles,aadt_buses,speed_avg_kph,speed_light_kph,speed_heavy_kph,aadt_pct_ascending,aadt_pct_descending,year,shape_length_m
2120,24,A-66,143.1,148.7,11842,1738,10104,40,8945,49,1070,0,493,1107,71,0,67,,,,50.4897821313967,49.5102178686033,2022,5529.892824204258
2121,4,N-340A,566.9,567.1,4100,530,3570,0,3566,0,4,0,528,1,0,0,1,,,,,,2022,0
2122,14,N-432A,246.4,248.54,598,62,536,10,421,8,93,4,24,30,1,0,7,,,,,,2022,1952.260162367155
2123,9,A-1,153.5,157.2,17132,3956,13176,229,12060,59,828,0,454,3036,159,24,283,116.2,123.5,93.8,49.7198225542844,50.2801774457156,2022,4023.403727942924
2124,22,N-330,612.7,613.9,8084,948,7136,198,6411,105,422,0,44,757,35,0,112,,,,,,2022,1290.920465883041
2125,43,AP-7N,212.2,219.4,58026,12486,45540,127,41378,278,3757,0,5440,6459,463,25,99,115.1,121.5,93.3,49.2641229793541,50.7358770206459,2022,7220.930490752511
2126,2,N-344,118.3,118.6,10001,3501,6500,84,5375,84,957,0,1008,2271,190,3,29,,,,,,2022,314.0055603589671
2127,9,N-627,65.3,66.9,3790,956,2834,65,2535,33,201,0,119,762,50,4,21,,,,,,2022,1619.0675891344324
2128,8,A-2,532.5,537.6,19616,4539,15077,474,13406,36,1161,0,888,3225,247,15,164,107.6,115.3,89.2,48.5471044045677,51.4528955954323,2022,4919.941825608095
2129,15,N-651,16.8,17.3,13026,460,12566,516,10423,71,1556,0,317,101,7,1,34,63.1,63.1,62.2,,,2022,496.81855679318613
2130,11,CA-33,7.41,13.24,46500,1500,45000,741,41995,96,2168,0,738,620,15,3,124,,,,56.189247311828,43.810752688172,2022,5611.230720280449
2131,22,N-330,553.95,558.8,364,73,291,17,257,2,12,3,30,39,0,0,4,,,,,,2022,4791.683365355261
