lat,lon,name,is_city,is_feasible_location,is_existing_charger
41.988722,-7.603278,PETRONOR,0,1,0
43.333972,-4.329278,REPSOL,0,1,0
37.885556,-1.360389,BP,0,1,0
40.166778,-3.286111,MOEVE,0,1,0
38.878611,-0.754167,REPSOL,0,1,0
39.528806,-1.433389,GALP,0,1,0
39.302389,-2.067639,E.S EL GORRION,0,1,0
38.938611,-1.757611,REPSOL,0,1,0
39.895111,-5.303639,REPSOL,0,1,0
39.976889,-3.566889,GALP,0,1,0
36.43775,-5.716139,SHELL,0,1,0
37.393278,-3.02725,REPSOL,0,1,0
39.565056,-5.832583,REPSOL,0,1,0
42.235,-5.665556,REPSOL,0,1,0
42.454889,-5.520889,REPSOL,0,1,0
42.540639,-5.724889,CEPSA,0,1,0
42.087806,-5.713278,REPSOL,0,1,0
42.089278,-5.715528,REPSOL,0,1,0
37.554194,-2.608944,BP VENTA DEL PERAL I,0,1,0
37.506722,-5.379528,MOEVE,0,1,0
37.751722,-3.918278,E.S.  JAMILENA,0,1,0
36.46,-5.730944,BP,0,1,0
37.270056,-5.500389,SHELL,0,1,0
37.26925,-5.49975,SHELL,0,1,0
37.505306,-5.441361,REPSOL,0,1,0
37.524694,-5.252056,REPSOL,0,1,0
41.533722,0.519,PONENT ENERGIA,0,1,0
38.141528,-0.899639,PEPE RAMON,0,1,0
37.912167,-1.313417,REPSOL,0,1,0
37.892778,-1.339611,REPSOL,0,1,0
39.450333,-0.93025,REPSOL,0,1,0
39.484889,-2.156278,DILAMOR,0,1,0
39.334588,-2.370979,S.COOP. DELCAMPO LA CANDELARIA,0,1,0
38.103833,-1.231611,BP BASE 2000,0,1,0
38.23025,-6.296556,GALP,0,1,0
41.798333,-5.755833,REPSOL,0,1,0
38.094639,-6.270861,SAN ISIDRO,0,1,0
36.759167,-4.051389,REPSOL,0,1,0
40.471639,-1.144528,CEREALES TERUEL,0,1,0
39.882972,-6.276139,REPSOL,0,1,0
41.813417,-5.748611,REPSOL,0,1,0
39.526472,-5.833083,MOLGAS,0,1,0
43.543667,-6.845194,GASOLINERA CEPSA LA CARIDAD,0,1,0
38.150806,-3.718389,MOEVE,0,1,0
40.772944,-1.339556,FYCASA LOGISTICA S.L.,0,1,0
