lat,lon,name,is_city,is_feasible_location,is_existing_charger,n_chargers,mean_power_kw,x_built,c_built,p_built_kw,wq_minutes,lambda_k,gamma,fixed_cost
37.11906,-3.584,Zubia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.42539,-6.41734,Zafra,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.61365,-1.11468,Yecla,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.6373,-0.86568,Villena,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.22085,-3.60802,Villarrubia de los Ojos,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.26992,-2.60119,Villarrobledo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.9383,-0.10087,Vila-real,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.97655,-5.7974,Villanueva de la Serena,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.32277,-4.62873,Villanueva de Córdoba,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
36.85979,-5.64485,Villamartín,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.50754,-0.23346,Villajoyosa,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.1156,-3.0848,Villacarrillo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.62367,-3.33813,Villacañas,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
36.83155,-2.64273,Vícar,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.24345,-1.85905,Vera,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
36.78107,-4.10266,Vélez-Málaga,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
36.25213,-5.96717,Vejer de la Frontera,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
