gamma,fixed_cost,tag,results_csv,cuts_json,n_stations,n_chargers,avg_chargers_per_station,total_kw,total_wq_min,total_w_min,total_open_cost,objective_ub,objective_lb,gap_pct,n_cuts,power_dist,charger_dist
0.7,0.0,sweep2d_g0_7_f0,congestion/outputs/results_congestion_sweep2d_g0_7_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_7_f0.json,22,28,1.2727272727272727,5400,569.4421000000001,964.8421,0.0,17721777.943049237,17710063.78344906,0.06610036328082079,307574,"{""50"": 2, ""100"": 5, ""150"": 2, ""200"": 5, ""250"": 5, ""350"": 3}","{""1"": 18, ""2"": 2, ""3"": 2}"
0.75,0.0,sweep2d_g0_75_f0,congestion/outputs/results_congestion_sweep2d_g0_75_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_75_f0.json,21,27,1.2857142857142858,5200,624.1858000000001,1005.3058,0.0,17721938.40725624,17710329.235156063,0.06550734932823038,307564,"{""50"": 2, ""100"": 5, ""150"": 1, ""200"": 6, ""250"": 4, ""350"": 3}","{""1"": 17, ""2"": 2, ""3"": 2}"
0.8,0.0,sweep2d_g0_8_f0,congestion/outputs/results_congestion_sweep2d_g0_8_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_8_f0.json,21,27,1.2857142857142858,5100,697.9198,1081.5598,0.0,17722194.66130224,17710585.48920206,0.0655064021248362,307564,"{""50"": 2, ""100"": 5, ""150"": 1, ""200"": 7, ""250"": 3, ""350"": 3}","{""1"": 17, ""2"": 2, ""3"": 2}"
0.85,0.0,sweep2d_g0_85_f0,congestion/outputs/results_congestion_sweep2d_g0_85_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_85_f0.json,21,27,1.2857142857142858,5100,697.9198,1081.5598,0.0,17722449.66130224,17710840.48920206,0.06550545958399895,307564,"{""50"": 2, ""100"": 5, ""150"": 1, ""200"": 7, ""250"": 3, ""350"": 3}","{""1"": 17, ""2"": 2, ""3"": 2}"
0.9,0.0,sweep2d_g0_9_f0,congestion/outputs/results_congestion_sweep2d_g0_9_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_9_f0.json,21,27,1.2857142857142858,5050,716.326,1125.166,0.0,17722703.26753924,17711094.09543906,0.06550452222174347,307564,"{""50"": 3, ""100"": 4, ""150"": 1, ""200"": 7, ""250"": 3, ""350"": 3}","{""1"": 17, ""2"": 2, ""3"": 2}"
0.95,0.0,sweep2d_g0_95_f0,congestion/outputs/results_congestion_sweep2d_g0_95_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_95_f0.json,21,27,1.2857142857142858,5050,716.326,1125.166,0.0,17722955.76753924,17711346.59543906,0.06550358897493758,307564,"{""50"": 3, ""100"": 4, ""150"": 1, ""200"": 7, ""250"": 3, ""350"": 3}","{""1"": 17, ""2"": 2, ""3"": 2}"
1.0,0.0,sweep2d_g1_f0,congestion/outputs/results_congestion_sweep2d_g1_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g1_f0.json,21,27,1.2857142857142858,5050,716.326,1125.166,0.0,17723208.26753924,17711599.09543906,0.06550265575472335,307564,"{""50"": 3, ""100"": 4, ""150"": 1, ""200"": 7, ""250"": 3, ""350"": 3}","{""1"": 17, ""2"": 2, ""3"": 2}"
0.05,250.0,sweep2d_g0_05_f250,congestion/outputs/results_congestion_sweep2d_g0_05_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_05_f250.json,20,57,2.85,17750,123.77659999999999,290.8166,5000.0,17712830.357180044,17709922.239980064,0.016418139514337373,227561,"{""250"": 8, ""350"": 12}","{""1"": 5, ""2"": 9, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""10"": 1}"
0.1,250.0,sweep2d_g0_1_f250,congestion/outputs/results_congestion_sweep2d_g0_1_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_1_f250.json,24,69,2.875,16100,193.43779999999998,443.7578,6000.0,17717812.34745512,17712295.037421726,0.031139905566210373,229030,"{""150"": 2, ""200"": 6, ""250"": 9, ""350"": 7}","{""1"": 8, ""2"": 8, ""3"": 4, ""4"": 1, ""6"": 2, ""17"": 1}"
0.15,250.0,sweep2d_g0_15_f250,congestion/outputs/results_congestion_sweep2d_g0_15_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_15_f250.json,20,42,2.1,10900,253.09550000000002,457.0955,5000.0,17719351.189397227,17712101.499363728,0.04091397002073737,230305,"{""150"": 1, ""200"": 4, ""250"": 10, ""350"": 5}","{""1"": 6, ""2"": 8, ""3"": 4, ""4"": 2}"
