lat,lon,name,aadt_assigned,impute_tier,edge_dist_m,highway_class,through_gap_km,stop_rate,usage_count,lambda_k
42.892,-1.777806,SARASATE,2452.0428525379702,3,90.81553892280299,trunk,13.622,0.07235324817945489,0,1.1531862228661989
42.055861,-1.861722,REPSOL,1589.8472929810205,3,56.048603735200565,primary,0.6296,0.0584542108551189,0,0.6040662477937917
42.590333,-1.363972,AVIA,325.80648311907714,3,67.43370478021788,primary_link,16.3154,0.07577386503559601,83,0.16046950711731642
42.024778,-1.580333,PLENERGY,11030.06664461187,3,32.19499107342486,motorway,11.6932,0.07002566411066416,0,5.0205203228299045
42.774333,-1.633278,GASOLINERA NOÁIN,356.55162213921386,3,114.87259858016948,trunk,0.0958,0.05796595238710217,0,0.13434105329102716
42.818278,-1.60325,REPSOL,139.7550776258191,3,29.87157221227545,secondary,0.0384,0.05791380376802584,0,0.05260936291784489
42.837667,-0.939306,PETRONOR,907.6699311036612,3,984.0245808510026,primary,14.3106,0.07320856725437841,0,0.4319198987738661
42.731944,-1.618028,MOEVE,1090.9591168121572,3,48.503862691311085,motorway_link,0.105,0.057974317075657714,0,0.4111094634052088
42.724889,-1.615528,MOEVE,1090.9591168121572,3,713.1651002982766,motorway_link,1.6152,0.059371527558452944,366,0.42101741024823014
42.200333,-1.676278,REPSOL,7772.218908074189,3,170.6879905704351,motorway_link,0.0146,0.057892201259170134,0,2.9246805981676305
42.200361,-1.674889,REPSOL,7772.218908074189,3,85.86350560738049,motorway_link,6.6388,0.06438031368863105,0,3.252456293830418
42.012583,-1.600861,REPSOL,11816.0,1,68.22883534367048,motorway,0.029,0.057905270278253665,1139,4.447356378450995
40.907139,-3.876222,CEPSA,632.1831479920606,3,239.8525669256579,secondary,32.7636,0.10157121084029382,0,0.41737545079348476
38.495972,-5.136278,OLIVARERA NTRA.SRA.DEL CARMEN,226.8842546018108,3,633.1983334271179,secondary,18.2356,0.078338808883038,54,0.11552997468884164
39.5105,-3.241944,REPSOL,511.8648141602545,3,47.5882804816735,secondary,29.8086,0.09625451345899616,0,0.32025044118453616
41.863222,-5.716722,TEO,3212.28176424135,3,404.432597461309,motorway_link,40.1474,0.11633808100184184,0,2.4291195245788226
41.207806,-1.394028,COOP. LANGA DEL CASTILLO,100.96968088132122,3,5873.154072039636,trunk_link,18.567,0.07879244855816327,0,0.051711714514041815
42.140583,-5.598556,TEO,1352.525910616432,3,177.96983486054268,trunk_link,51.8148,0.14445412094022497,0,1.269956619535331
39.768389,-2.268028,PASACONSOL S. COOP. DE C-LM,202.0687892547378,3,559.808712284365,secondary,68.1672,0.1950797590819217,0,0.2562269497176341
43.535611,-6.705833,E.S.LA COLORADA,3683.0,2,429.45666533774806,trunk,1.2572,0.05903594004335204,0,1.4132908866678262
42.251222,-5.566194,SUTECAL,1390.0,1,715.3651419469619,trunk,26.762,0.09110407209383023,0,0.8231252913677561
42.218889,-5.801917,SUTECAL,675.0,1,424.48862182299314,trunk,56.9708,0.15893295224200932,0,0.6973183279618159
43.323611,-1.879944,MERKAOIL,1406.0161505206777,3,394.69203836452687,secondary,1.7026,0.059453873064802876,0,0.5433551873107745
41.191778,-1.309528,COOP. MAINAR,259.0,1,261.62658865215644,trunk,27.8896,0.09297218412370582,0,0.15651867197225877
37.590278,-5.747333,COOP.SAN LUIS,3676.5395470241174,3,463.38524501007714,secondary,55.0868,0.15348899678405922,0,3.6680043836127334
39.030361,-3.821833,"MONTES NORTE ENERGETICOS, S.L.",9311.07317251876,2,1831.4091690328305,trunk,66.7916,0.19028093302636265,0,11.516177989833428
40.999,-1.512083,COOP GALLOCANTA,477.4172847979305,3,5497.625235542707,primary,41.5862,0.11947645162660352,0,0.3707608003636182
41.691556,0.594194,"FRU-ROSE, SCCL",3735.0,1,435.0957404859768,secondary,4.0472,0.061725162799783045,0,1.498532639871733
42.389528,-1.972064,CARCAR,4161.317530290632,3,248.17801483362007,primary,22.2078,0.08399646464840532,0,2.271983745355002
39.363611,-7.133861,JOYMAR,617.5575324023968,3,1534.0489159198098,primary,0.8224,0.05863203233470629,0,0.2353562458543319
41.914,-1.259917,COOPERATIVA SAN MIGUEL,1602.2172435357134,3,528.775667967383,secondary,25.466,0.08901104113229402,0,0.9269976622869829
42.522889,-1.837889,ENERGETICOS BERBINZANA,4161.317530290632,3,3300.2414244508655,primary_link,10.318,0.0684259790242389,0,1.8508244692656188
42.171361,-1.588306,S.COOP. SAN ESTEBAN,2321.1129266425573,3,2542.7227511242045,primary_link,1.4024,0.059171719406433926,0,0.8927375782386106
41.97325,-1.635194,AN ENERGETICOS,2690.2377367792337,3,3456.143910306772,trunk_link,0.0,0.057878955124056955,0,1.012102970060584
39.274667,-3.520028,OLEOVINICOLA LABOREÑA SDAD COOP DE C-LM,2783.182794529487,3,2035.0908866950554,secondary,22.586,0.08456080953677149,0,1.5297632362624782
42.231,2.959417,AVANZA,1929.555235324506,3,29.27401850805897,secondary,2.9452,0.0606425271605521,0,0.7605851874786871
41.495472,-4.189472,EL PARAMO S.C.L.,969.8201691182468,3,3778.3813649208073,secondary,29.5156,0.09574482743787091,0,0.6035592207969567
41.858028,1.874306,PETROBAGES S.L.,39960.64200798242,3,261.0710665487052,motorway,0.8294,0.05863850326246142,220,15.231009538908348
41.741194,-4.385306,"AN ENERGETICOS, S.L. - ESGUEVILLAS DE ESGUEVA",3404.1195247287856,3,67.92403000332395,secondary,57.1498,0.15945951510716244,0,3.5283251170704966
41.256528,-6.070167,AVIA,46.54427798471955,3,6384.409221675194,secondary,42.771,0.12212766093820919,0,0.036948234702155296
40.309472,0.118278,COOPERATIVA AGRARIA SAN ISIDRO DE CUEVAS DE VINROMA,3746.453950320724,3,279.3990604365576,primary,39.0896,0.11408665542135606,0,2.7782326057344213
38.662639,-3.069639,COOPERATIVA COZAR DE LA SIERRA,946.8077979281657,3,40.19967638458393,secondary,101.7166,0.34260767879058884,0,2.1084935424084854
41.864194,-1.925111,UNION COMARCAL AGREDANA.S.C.L,7105.0,1,561.8142359513851,motorway,7.0822,0.06485035386077191,0,2.994951467175099
42.60225,-1.644417,TALLERES ARRUBLA,2678.54240694742,3,495.33142378681845,trunk,0.3762,0.058221686380077964,0,1.0136701638247072
39.408694,-2.421139,COOPERATIVA DEL CAMPO NTRA SRA DE RUS,1202.1239689793133,3,19.728639964756084,trunk_link,0.152,0.058017077220175794,0,0.4533341743872308
40.751007,-3.163644,SUMINISTROS YUNQUERA SOCIEDAD COOPERATIVA DE CASTILLA LAMANCHA,5923.436871419898,3,964.389221127727,primary,26.67,0.09095359884586943,0,3.501926356447722
37.674528,-4.556306,COOP. OLIVARERA SAN ISIDRO,5104.0,1,65.8910366678396,trunk,0.2618,0.0581171516231999,0,1.92809462225128
39.829778,-4.71575,AVIA,574.392452214579,3,912.7912069700826,secondary,52.9524,0.14753564184293042,0,0.5508318341968822
42.922111,-2.0145,MOEVE,12933.817738458582,3,77.25873184004199,motorway,3.6424,0.061324324208983955,206,5.155524609645422
42.350056,-1.371222,COOPERATIVA AGRICOLA SAN FRANCISCO JAVIER,2321.1129266425573,3,2858.534359511578,primary,40.3322,0.11673624247652124,0,1.7612270092295677
40.699617,-1.347402,CEREALES TERUEL,800.0,1,1430.95545301223,secondary,18.898,0.07924881390742314,0,0.4120938323186003
40.61525,-1.344639,CEREALES TERUEL,667.0,1,3123.1237249021938,secondary,36.4132,0.10859674847952601,0,0.4708212030329851
40.812361,-1.482972,CEREALES TERUEL,1888.0,1,4582.093083137066,trunk,23.971,0.08666689162431558,6,1.063576094013601
40.588172,-0.987763,CEREALES TERUEL,2216.0,1,2039.1260128797378,trunk,74.3856,0.21804732035626676,0,3.140753602411667
39.281778,-1.719778,COOP SAN GREGORIO,523.6307675575737,3,2054.7657286735093,secondary,18.9896,0.07937568770579899,0,0.2701630898121856
40.8922,-1.461152,CEREALES TERUEL,200.47962152315185,3,8220.179716645614,secondary,39.9282,0.11586767360944644,0,0.15098919778793443
41.060639,-1.235667,GASOLEOS TERUEL,8068.517010650331,3,3597.6983006824,motorway_link,0.327,0.058176695590342414,0,3.0510977769616754
40.683278,-1.098417,CEREALES TERUEL,776.1250713722504,3,6979.842813113737,secondary,58.725,0.16416374345050808,0,0.8281753811646992
39.131015,-4.947033,SI,1806.0,1,1572.1673655054835,trunk,1.7602,0.059508231766470396,0,0.6985671327065961
36.9067,-4.337866,S. COOP. AND. NTRA. SRA. DE LA CANDELARIA,4767.228146496643,3,1256.9631917432007,secondary_link,103.0972,0.3497855339970968,0,10.83879837890407
40.636194,-1.001639,CEREALES TERUEL,337.3008510291199,3,194.2705804611132,secondary,64.9176,0.183906634781682,0,0.40320711874145876
37.19375,-3.776917,SHELL,11673.954389260023,3,322.3017572382364,motorway_link,0.0164,0.05789383465093738,1300,4.393024903373629
40.701472,-0.80425,CEREALES TERUEL,790.058514571759,3,4350.587100000886,trunk_link,21.8898,0.08352547849171996,0,0.42893510052941397
43.170556,-2.597556,EUSKOIL-STAR PETROLEUM,10633.332550743817,3,268.8721323998935,motorway_link,2.8638,0.06056362761192803,0,4.185955753700769
43.281972,-1.916778,ONROAD 24,1332.761630278148,3,153.65227986759874,secondary,0.0108,0.05788875320870761,0,0.5014874091578425
43.185778,-2.671556,SHELL,4112.0,3,165.9436320971595,trunk,0.5182,0.058351822173108886,0,1.5596275030428546
43.123361,-3.122528,AVIA ,3757.425784652746,3,77.41566773794257,primary,24.8844,0.0880902456119428,0,2.151451641551598
43.015361,-2.1765,AVIA,1332.761630278148,3,1364.5667021993725,secondary,6.79,0.0645400708755023,0,0.559107445508961
43.241444,-2.259444,E.S. ZESTOA-AVIA,3107.0239949317634,3,1101.414369274981,primary_link,26.1626,0.09012892652893602,0,1.8202127928585004
42.8635,-2.320361,"ANDAMUR ""SAN ROMAN""",13030.913815550764,3,249.61556592873336,motorway_link,0.108,0.057977045072374375,18,4.910710204519683
43.186278,-2.671,SHELL,4112.0,3,193.07417465736214,trunk,0.4764,0.05831347068777727,0,1.5586024445429112
