lat,lon,c,p_kw,wq_minutes
41.191778,-1.309528,4,150,0.0
41.191778,-1.309528,5,150,0.0
41.191778,-1.309528,6,150,0.0
41.191778,-1.309528,7,150,0.0
37.590278,-5.747333,2,150,7.348374
37.590278,-5.747333,3,150,1.022724
37.590278,-5.747333,4,150,0.163654
37.590278,-5.747333,5,150,0.024994
37.590278,-5.747333,6,150,0.003493
37.590278,-5.747333,7,150,0.000443
39.030361,-3.821833,2,150,31.212354
39.030361,-3.821833,3,150,3.373589
39.030361,-3.821833,4,150,0.653408
39.030361,-3.821833,5,150,0.132309
39.030361,-3.821833,6,150,0.025486
39.030361,-3.821833,7,150,0.004544
40.999,-1.512083,2,150,0.087494
40.999,-1.512083,3,150,0.00266
40.999,-1.512083,4,150,7e-05
40.999,-1.512083,5,150,2e-06
40.999,-1.512083,6,150,0.0
40.999,-1.512083,7,150,0.0
41.691556,0.594194,2,150,0.193377
41.691556,0.594194,3,150,0.008486
41.691556,0.594194,4,150,0.000327
41.691556,0.594194,5,150,1.1e-05
41.691556,0.594194,6,150,0.0
41.691556,0.594194,7,150,0.0
42.389528,-1.972064,2,150,1.796902
42.389528,-1.972064,3,150,0.191282
42.389528,-1.972064,4,150,0.019678
42.389528,-1.972064,5,150,0.001821
42.389528,-1.972064,6,150,0.00015
42.389528,-1.972064,7,150,1.1e-05
39.363611,-7.133861,2,150,0.154932
39.363611,-7.133861,3,150,0.006145
39.363611,-7.133861,4,150,0.000213
39.363611,-7.133861,5,150,6e-06
39.363611,-7.133861,6,150,0.0
39.363611,-7.133861,7,150,0.0
41.914,-1.259917,2,150,0.091815
41.914,-1.259917,3,150,0.002856
41.914,-1.259917,4,150,7.7e-05
41.914,-1.259917,5,150,2e-06
41.914,-1.259917,6,150,0.0
41.914,-1.259917,7,150,0.0
42.522889,-1.837889,2,150,0.988821
42.522889,-1.837889,3,150,0.085913
42.522889,-1.837889,4,150,0.006938
42.522889,-1.837889,5,150,0.000497
42.522889,-1.837889,6,150,3.1e-05
42.522889,-1.837889,7,150,2e-06
42.171361,-1.588306,2,150,0.136272
42.171361,-1.588306,3,150,0.005095
42.171361,-1.588306,4,150,0.000166
42.171361,-1.588306,5,150,5e-06
42.171361,-1.588306,6,150,0.0
42.171361,-1.588306,7,150,0.0
41.97325,-1.635194,2,150,0.162249
41.97325,-1.635194,3,150,0.006573
41.97325,-1.635194,4,150,0.000233
41.97325,-1.635194,5,150,7e-06
41.97325,-1.635194,6,150,0.0
41.97325,-1.635194,7,150,0.0
39.274667,-3.520028,2,150,0.55877
39.274667,-3.520028,3,150,0.038852
39.274667,-3.520028,4,150,0.002446
39.274667,-3.520028,5,150,0.000135
39.274667,-3.520028,6,150,7e-06
39.274667,-3.520028,7,150,0.0
42.231,2.959417,2,150,0.052484
42.231,2.959417,3,150,0.001252
42.231,2.959417,4,150,2.6e-05
42.231,2.959417,5,150,0.0
42.231,2.959417,6,150,0.0
42.231,2.959417,7,150,0.0
41.495472,-4.189472,2,150,0.03187
41.495472,-4.189472,3,150,0.000598
41.495472,-4.189472,4,150,1e-05
41.495472,-4.189472,5,150,0.0
41.495472,-4.189472,6,150,0.0
41.495472,-4.189472,7,150,0.0
41.858028,1.874306,2,150,45.0
41.858028,1.874306,3,150,65.265229
41.858028,1.874306,4,150,5.774126
41.858028,1.874306,5,150,1.396261
41.858028,1.874306,6,150,0.381076
41.858028,1.874306,7,150,0.103581
41.741194,-4.385306,2,150,1.698525
41.741194,-4.385306,3,150,0.177674
41.741194,-4.385306,4,150,0.017885
41.741194,-4.385306,5,150,0.001617
41.741194,-4.385306,6,150,0.00013
41.741194,-4.385306,7,150,9e-06
41.256528,-6.070167,2,150,0.000275
41.256528,-6.070167,3,150,0.0
41.256528,-6.070167,4,150,0.0
41.256528,-6.070167,5,150,0.0
41.256528,-6.070167,6,150,0.0
41.256528,-6.070167,7,150,0.0
40.309472,0.118278,2,150,1.969958
40.309472,0.118278,3,150,0.215596
40.309472,0.118278,4,150,0.02297
40.309472,0.118278,5,150,0.002208
40.309472,0.118278,6,150,0.000189
40.309472,0.118278,7,150,1.5e-05
38.662639,-3.069639,2,150,0.374176
38.662639,-3.069639,3,150,0.021986
38.662639,-3.069639,4,150,0.001153
38.662639,-3.069639,5,150,5.3e-05
38.662639,-3.069639,6,150,2e-06
38.662639,-3.069639,7,150,0.0
41.864194,-1.925111,2,150,0.987593
41.864194,-1.925111,3,150,0.085767
41.864194,-1.925111,4,150,0.006923
41.864194,-1.925111,5,150,0.000495
41.864194,-1.925111,6,150,3.1e-05
41.864194,-1.925111,7,150,2e-06
42.60225,-1.644417,2,150,0.163272
42.60225,-1.644417,3,150,0.006634
42.60225,-1.644417,4,150,0.000236
42.60225,-1.644417,5,150,7e-06
42.60225,-1.644417,6,150,0.0
42.60225,-1.644417,7,150,0.0
39.408694,-2.421139,2,150,0.10528
39.408694,-2.421139,3,150,0.003491
39.408694,-2.421139,4,150,0.000101
39.408694,-2.421139,5,150,2e-06
39.408694,-2.421139,6,150,0.0
39.408694,-2.421139,7,150,0.0
40.751007,-3.163644,2,150,1.46967
40.751007,-3.163644,3,150,0.146725
40.751007,-3.163644,4,150,0.01395
40.751007,-3.163644,5,150,0.001187
40.751007,-3.163644,6,150,9e-05
40.751007,-3.163644,7,150,6e-06
37.674528,-4.556306,2,150,0.878233
37.674528,-4.556306,3,150,0.072995
37.674528,-4.556306,4,150,0.005604
37.674528,-4.556306,5,150,0.00038
37.674528,-4.556306,6,150,2.3e-05
37.674528,-4.556306,7,150,1e-06
39.829778,-4.71575,2,150,0.088279
39.829778,-4.71575,3,150,0.002696
39.829778,-4.71575,4,150,7.1e-05
39.829778,-4.71575,5,150,2e-06
